PublishedAgo,Rating,Employer,JobTitle,Founded,Type,Industry,Sector,MinSalary,MaxSalary,City,State,Country,MinSize,MaxSize,MinRevenue,MaxRevenue
5d,4.3,KGS Technology Group Inc,Junior Software Engineer,2008.0,Company - Private,Information Technology Support Services,Information Technology,60.0,80.0,Remote,Remote,Remote,51.0,200.0,1000000.0,5000000.0
4d,4.2,"QSC, LLC",AI Engineer,1968.0,Company - Private,Electronics Manufacturing,Manufacturing,102.0,147.0,Remote,Remote,Remote,501.0,1000.0,,
30d+,4.2,MIT Lincoln Laboratory,AI Engineer,1951.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,94.0,138.0,Lexington, MA,United States,1001.0,5000.0,,
6d,4.2,Hewlett Packard Enterprise,AI Solution Engineer,2015.0,Company - Public,Information Technology Support Services,Information Technology,123.0,283.0,San Jose, CA,United States,10000.0,10000.0,,
2d,3.3,Oran Inc,AI/ML Cloud Engineer,2004.0,Company - Private,Business Consulting,Management & Consulting,140.0,140.0,Remote,Remote,Remote,1.0,50.0,1000000.0,5000000.0
9d,5.0,Accede LLC,Computer Vision AI Engineer,2019.0,Company - Private,Information Technology Support Services,Information Technology,108.0,120.6,Remote,Remote,Remote,51.0,200.0,5000000.0,25000000.0
30d+,4.2,Booz Allen Hamilton,AI Prompt Engineer,1914.0,Company - Public,Business Consulting,Management & Consulting,93.0,212.0,Bethesda, MD,United States,10000.0,10000.0,5000000000.0,10000000000.0
30d+,5.0,Arize AI,Frontend Engineer,2020.0,Company - Private,Software Development,Information Technology,100.0,185.0,Berkeley, CA,United States,51.0,200.0,,
27d,4.4,Cisco Systems,Senior AI Engineer - 1403502,1984.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,102.0,156.0,Annapolis Junction, MD,United States,10000.0,10000.0,10000000000.0,10000000000.0
25d,5.0,Cyberhaven,AI Cybersecurity Engineer,2016.0,Company - Private,Information Technology Support Services,Information Technology,160.0,190.0,Remote,Remote,Remote,51.0,200.0,,
16d,3.9,"SRC, Inc",Machine Learning Engineer (Entry Level),1957.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,73.0,107.0,Syracuse, NY,United States,1001.0,5000.0,,
5d,4.3,Microsoft,Software Engineer,1975.0,Company - Public,Computer Hardware Development,Information Technology,76.0,152.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
20d,4.1,PMAT,AI/ML Engineer,2007.0,Company - Private,Information Technology Support Services,Information Technology,64.0,97.0,Arlington, VA,United States,51.0,200.0,25000000.0,100000000.0
6d,4.7,NVIDIA,Architecture Energy Modeling Engineer,1993.0,Company - Public,Computer Hardware Development,Information Technology,156.0,288.0,Santa Clara, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
24d,5.0,FreightVerify,AI Engineer,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,75.0,110.0,Ann Arbor, MI,United States,51.0,200.0,,
5d,4.9,Snappyhires,Machine Learning Engineer,2014.0,Company - Private,Machinery Manufacturing,Manufacturing,108.0,162.0,Remote,Remote,Remote,51.0,200.0,1000000.0,5000000.0
