PublishedAgo,Salary,Rating,Employer,JobTitle,Location,Size,Founded,Type,Industry,Sector,Revenue
5d,$60K - $80K (Employer est.),4.3,"KGS Technology Group Inc
4.3",Junior Software Engineer,Remote,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
4d,$102K - $147K (Employer est.),4.2,"QSC, LLC
4.2",AI Engineer,Remote,501 to 1000 Employees,1968,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
30d+,$94K - $138K (Glassdoor est.),4.2,"MIT Lincoln Laboratory
4.2",AI Engineer,"Lexington, MA",1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
6d,$123K - $283K (Employer est.),4.2,"Hewlett Packard Enterprise
4.2",AI Solution Engineer,"San Jose, CA",10000+ Employees,2015,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
2d,$140K (Employer est.),3.3,"Oran Inc
3.3",AI/ML Cloud Engineer,Remote,1 to 50 Employees,2004,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD)
9d,$60.00 - $67.00 Per Hour (Employer est.),5.0,"Accede LLC
5.0",Computer Vision AI Engineer,Remote,51 to 200 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
30d+,$93K - $212K (Employer est.),4.2,"Booz Allen Hamilton
4.2",AI Prompt Engineer,"Bethesda, MD",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
10d,$85K - $140K (Employer est.),2.4,"Nooks
2.4",QA Support Engineer,Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
30d+,$100K - $185K (Employer est.),5.0,"Arize AI
5.0",Frontend Engineer,"Berkeley, CA",51 to 200 Employees,2020,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
27d,$102K - $156K (Glassdoor est.),4.4,"Cisco Systems
4.4",Senior AI Engineer - 1403502,"Annapolis Junction, MD",10000+ Employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
25d,$160K - $190K (Employer est.),5.0,"Cyberhaven
5.0",AI Cybersecurity Engineer,California,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
16d,$73K - $107K (Glassdoor est.),3.9,"SRC, Inc
3.9",Machine Learning Engineer (Entry Level),"Syracuse, NY",1001 to 5000 Employees,1957,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
